Signal Type,Msg,Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
BCI,msg,28906.095593329,-187500.02235174447,-187500.02235174447,-159883.1903795231,-142276.81067905555,-147600.21389725374,-147397.8859064443,-145063.58147425432,-122183.12885560142
BCI,msg,28906.0986188,-187500.02235174447,-187500.02235174447,-159822.28187588239,-142192.23167803665,-147504.8166519185,-147339.16787376022,-145018.45330219905,-122157.08907331098
BCI,msg,28906.101622455,-187500.02235174447,-187500.02235174447,-159630.9285916005,-141958.58889324532,-147221.19536652512,-147189.2994271874,-144937.0706006373,-122061.49066227564
BCI,msg,28906.105547892,-187500.02235174447,-187500.02235174447,-159673.7321822324,-142024.48183589958,-147291.31278888142,-147235.52283472096,-144976.78965053437,-122073.53825253705
BCI,msg,28906.108565982,-187500.02235174447,-187500.02235174447,-159867.99119329348,-142259.39867012485,-147576.00695800866,-147385.77126094952,-145058.37351779622,-122172.44472175179
BCI,msg,28906.111632285,-187500.02235174447,-187500.02235174447,-159848.3887134062,-142225.0663906415,-147541.04882968054,-147359.93264435919,-145032.1772732946,-122167.81791064954
BCI,msg,28906.116531783,-187500.02235174447,-187500.02235174447,-159655.40375177906,-141986.4615185811,-147253.8065616854,-147204.92329656164,-144943.6643652516,-122071.95127868072
BCI,msg,28906.119603435,-187500.02235174447,-187500.02235174447,-159643.06558883973,-141984.60632379132,-147241.758971424,-147208.38781695222,-144960.49522882645,-122057.66851397378
BCI,msg,28906.123542663,-187500.02235174447,-187500.02235174447,-159843.8736610262,-142231.05665815552,-147539.01482093512,-147366.0346705955,-145047.9799566245,-122156.26205876614
BCI,msg,28906.127544251,-187500.02235174447,-187500.02235174447,-159865.46544617004,-142247.55224556354,-147565.47928637022,-147373.1872288212,-145040.35801176526,-122172.4894252407
BCI,msg,28906.132149914,-187500.02235174447,-187500.02235174447,-159685.82447598272,-142022.2243097096,-147296.3642831283,-147225.77747413845,-144952.89563571164,-122085.04940093153
BCI,msg,28906.135628476,-187500.02235174447,-187500.02235174447,-159617.3163792272,-141950.8104861749,-147201.45877617106,-147183.80089805138,-144943.17262687357,-122043.69867368921
BCI,msg,28906.139630449,-187500.02235174447,-187500.02235174447,-159815.0175589344,-142196.4114542498,-147495.18305005826,-147342.6323941508,-145035.7759041519,-122139.54295391357
